TRUE_PROBABILITY,TRIAL,QAE_ESTIMATE,QAE_ERROR,QAE_ZERO,QAE_RUNTIME_SEC,MC_ESTIMATE,MC_ERROR,MC_HITS,MC_ZERO_HITS
1e-07,2,0.0,1e-07,True,0.9360207999998238,0.0,1e-07,0,True
1e-07,3,0.0,1e-07,True,0.9329907999999705,0.0,1e-07,0,True
1e-07,4,0.0,1e-07,True,0.9353479000001244,0.0,1e-07,0,True
1e-07,5,0.0,1e-07,True,0.9448002999997698,0.0,1e-07,0,True
1e-07,6,0.0,1e-07,True,0.9301390000000538,0.0,1e-07,0,True
1e-07,7,0.0,1e-07,True,0.9436181000000943,0.0,1e-07,0,True
1e-07,8,0.0,1e-07,True,0.9561047999995935,0.0,1e-07,0,True
1e-07,9,0.0,1e-07,True,0.9320398999989266,0.0,1e-07,0,True
1e-08,0,0.0,1e-08,True,0.9412511000009545,0.0,1e-08,0,True
1e-08,1,0.0,1e-08,True,0.9532770999994682,0.0,1e-08,0,True
1e-08,2,0.0,1e-08,True,0.9520720000000438,0.0,1e-08,0,True
1e-08,3,0.0,1e-08,True,1.0712762999992265,0.0,1e-08,0,True
1e-08,4,0.0,1e-08,True,0.9884550999995554,0.0,1e-08,0,True
1e-08,5,0.0,1e-08,True,0.9259567999997671,0.0,1e-08,0,True
1e-08,6,0.0,1e-08,True,0.9295932000004541,0.0,1e-08,0,True
1e-08,7,0.0,1e-08,True,0.9312724999999773,0.0,1e-08,0,True
1e-08,8,0.0,1e-08,True,0.9479578000009496,0.0,1e-08,0,True
1e-08,9,0.0,1e-08,True,0.9535937000000558,0.0,1e-08,0,True
1e-09,0,0.0,1e-09,True,0.9529908999993495,0.0,1e-09,0,True
1e-09,1,0.0,1e-09,True,0.9475566999990406,0.0,1e-09,0,True
1e-09,2,0.0,1e-09,True,0.9978080000000773,0.0,1e-09,0,True
1e-09,3,0.0,1e-09,True,1.1140016999997897,0.0,1e-09,0,True
1e-09,4,0.0,1e-09,True,1.018725899999481,0.0,1e-09,0,True
1e-09,5,0.0,1e-09,True,1.312819299999319,0.0,1e-09,0,True
1e-09,6,0.0,1e-09,True,1.0190855000000738,0.0,1e-09,0,True
1e-09,7,0.0,1e-09,True,1.0453130999994755,0.0,1e-09,0,True
1e-09,8,0.0,1e-09,True,0.9977398999999423,0.0,1e-09,0,True
1e-09,9,0.0,1e-09,True,0.9597773000004963,0.0,1e-09,0,True
1e-10,0,0.0,1e-10,True,1.0431372999992163,0.0,1e-10,0,True
1e-10,1,0.0,1e-10,True,1.0283695999987685,0.0,1e-10,0,True
1e-10,2,0.0,1e-10,True,1.0663162000000739,0.0,1e-10,0,True
1e-10,3,0.0,1e-10,True,1.2130599000010989,0.0,1e-10,0,True
1e-10,4,0.0,1e-10,True,1.738908999999694,0.0,1e-10,0,True
1e-10,5,0.0,1e-10,True,1.6575248000008287,0.0,1e-10,0,True
1e-10,6,0.0,1e-10,True,2.2677344999992783,0.0,1e-10,0,True
1e-10,7,0.0,1e-10,True,1.6998548999999912,0.0,1e-10,0,True
1e-10,8,0.0,1e-10,True,1.312159499999325,0.0,1e-10,0,True
1e-10,9,0.0,1e-10,True,0.9320014999993873,0.0,1e-10,0,True
