TRUE_PROBABILITY,REQUESTED_BUDGET,QAE_BUDGET,QAE_POWERS,TRIAL,QAE_ESTIMATE,QAE_ERROR,QAE_RUNTIME_SEC,MC_ESTIMATE,MC_ERROR,MC_SAMPLES,MC_RUNTIME_SEC
0.1,10000,4096,[0],9,0.10912203830333556,0.00912203830333555,0.2559725000000981,0.1051,0.005099999999999993,10000,0.00016249999953288352
0.1,50000,28672,"[0, 1, 2]",0,0.09804006311205803,0.0019599368879419793,0.5206411999997727,0.10064,0.0006399999999999878,50000,0.0005547000000660773
0.1,50000,28672,"[0, 1, 2]",1,0.09895751252914914,0.001042487470850867,0.535484500000166,0.10192,0.0019199999999999912,50000,0.0006505000001197914
0.1,50000,28672,"[0, 1, 2]",2,0.10142892880007641,0.0014289288000764039,0.4957857999997941,0.10024,0.00023999999999999022,50000,0.0004674000001614331
0.1,50000,28672,"[0, 1, 2]",3,0.10008609652734494,8.609652734493933e-05,0.4676964999998745,0.09938,0.0006200000000000094,50000,0.00040950000038719736
0.1,50000,28672,"[0, 1, 2]",4,0.10120141346079516,0.0012014134607951504,0.468200500000421,0.10074,0.0007399999999999907,50000,0.0004029000001537497
0.1,50000,28672,"[0, 1, 2]",5,0.09907011469617447,0.0009298853038255395,0.4646066000004794,0.10138,0.0013799999999999923,50000,0.0004318999999668449
0.1,50000,28672,"[0, 1, 2]",6,0.10154277144995898,0.0015427714499589712,0.4916120999996565,0.10022,0.00021999999999999797,50000,0.00040779999926598975
0.1,50000,28672,"[0, 1, 2]",7,0.10033137278203644,0.00033137278203643206,0.4734674000001178,0.09932,0.00068,50000,0.0004101999993508798
0.1,50000,28672,"[0, 1, 2]",8,0.10161869801305966,0.0016186980130596523,0.4730483000003005,0.09986,0.00014000000000000123,50000,0.00042039999971166253
0.1,50000,28672,"[0, 1, 2]",9,0.09867625651878029,0.001323743481219719,0.45481590000053984,0.10144,0.0014399999999999968,50000,0.000610499999311287
0.1,100000,61440,"[0, 1, 2, 3]",0,0.09860131511389225,0.0013986848861077539,0.6274890000004234,0.10056,0.0005599999999999911,100000,0.0009318000002167537
0.1,100000,61440,"[0, 1, 2, 3]",1,0.0995399035726648,0.00046009642733520206,0.6312826000003042,0.10073,0.0007299999999999945,100000,0.0008247000005212612
0.1,100000,61440,"[0, 1, 2, 3]",2,0.09931428152127396,0.0006857184787260467,0.6092865999999049,0.09911,0.0008900000000000019,100000,0.0008090999999694759
0.1,100000,61440,"[0, 1, 2, 3]",3,0.10101199052947002,0.0010119905294700138,0.6068057000002227,0.09891,0.0010900000000000076,100000,0.0007967999999891617
0.1,100000,61440,"[0, 1, 2, 3]",4,0.09963397996130083,0.00036602003869917743,0.6210211999996318,0.10021,0.00020999999999998797,100000,0.0008775999995123129
0.1,100000,61440,"[0, 1, 2, 3]",5,0.1001049544604773,0.0001049544604772995,0.630369200000132,0.1006,0.0005999999999999894,100000,0.000812499999483407
0.1,100000,61440,"[0, 1, 2, 3]",6,0.09985992450212024,0.00014007549787976858,0.6374197000004642,0.10111,0.0011099999999999999,100000,0.0008132999992085388
0.1,100000,61440,"[0, 1, 2, 3]",7,0.10059581465773634,0.0005958146577363377,0.6053140000003623,0.09944,0.0005600000000000049,100000,0.0009245000001101289
0.1,100000,61440,"[0, 1, 2, 3]",8,0.09967162158178967,0.00032837841821033165,0.619064000000435,0.09927,0.0007300000000000084,100000,0.0008488000003126217
0.1,100000,61440,"[0, 1, 2, 3]",9,0.09959634466339165,0.00040365533660835506,0.6132530000004408,0.10256,0.002559999999999993,100000,0.0007918000001154724
