TRUE_PROBABILITY,EVAL_QUBITS,TRIAL,QAE_ERROR,MC_ERROR,ORACLE_CALLS
0.5,17,9,1.1102230246251565e-16,3.479030449149434e-05,13107100
0.5,19,0,1.1102230246251565e-16,0.00012893701350596976,52428700
0.5,19,1,1.1102230246251565e-16,0.00012420677987434736,52428700
0.5,19,2,1.1102230246251565e-16,1.4534024303458626e-05,52428700
0.5,19,3,1.1102230246251565e-16,3.4866399510224966e-05,52428700
0.5,19,4,1.1102230246251565e-16,7.316603310780767e-05,52428700
0.5,19,5,1.1102230246251565e-16,3.4580296669584065e-05,52428700
0.5,19,6,1.1102230246251565e-16,1.2512230896433163e-05,52428700
0.5,19,7,1.1102230246251565e-16,1.7108949869060197e-05,52428700
0.5,19,8,1.1102230246251565e-16,3.761298678012226e-05,52428700
0.5,19,9,1.1102230246251565e-16,1.7395052709701098e-05,52428700
0.1,3,0,0.07094408408978461,0.015714285714285722,700
0.1,3,1,0.07947961799571734,0.0028571428571428636,700
0.1,3,2,0.06826641456012092,0.0,700
0.1,3,3,0.07033748237198639,0.01142857142857144,700
0.1,3,4,0.08180194846605365,0.0014285714285714318,700
0.1,3,5,0.054730880654188185,0.01571428571428571,700
0.1,3,6,0.048517677218591765,0.0028571428571428498,700
0.1,3,7,0.04680194846605365,0.0028571428571428498,700
0.1,3,8,0.07680194846605365,0.0028571428571428636,700
0.1,3,9,0.062408550183851885,0.027142857142857135,700
0.1,5,0,0.011835732586311112,0.001935483870967744,3100
0.1,5,1,0.008317144589181424,0.009677419354838707,3100
0.1,5,2,0.009584389730560139,0.0006451612903225906,3100
0.1,5,3,0.005595350579066349,0.003548387096774186,3100
0.1,5,4,0.0020380540128234204,0.00838709677419354,3100
0.1,5,5,0.003064669003192952,0.004516129032258065,3100
0.1,5,6,0.004106197132172182,0.0,3100
0.1,5,7,0.01530233010071999,0.0006451612903225906,3100
0.1,5,8,0.007066607755867135,0.0016129032258064557,3100
0.1,5,9,0.008411281107077909,0.013548387096774195,3100
0.1,7,0,0.0005468746324213264,0.0009448818897637712,12700
0.1,7,1,0.001452780349732924,0.004724409448818898,12700
0.1,7,2,0.00016102821752142504,0.00047244094488189947,12700
0.1,7,3,0.0006078659923774293,0.0014173228346456707,12700
0.1,7,4,0.0038630765143561757,0.003307086614173227,12700
0.1,7,5,0.0013017949591433986,0.00299212598425197,12700
0.1,7,6,0.0014241191273235004,0.0003937007874015852,12700
0.1,7,7,0.0010868332612638393,0.0005511811023622137,12700
0.1,7,8,0.0015844157673624015,0.0012598425196850421,12700
0.1,7,9,0.003948129833705544,0.005196850393700783,12700
0.1,9,0,0.009361078261088979,0.002407045009784739,51100
0.1,9,1,0.0008394342685370954,0.0023483365949119317,51100
0.1,9,2,0.007147951261590152,0.00027397260273973045,51100
0.1,9,3,0.0008959639681064002,0.0006653620352250478,51100
0.1,9,4,0.0008293215447044006,0.0014872798434442253,51100
0.1,9,5,0.00023097564457058573,0.0006653620352250478,51100
0.1,9,6,0.0006377961919869085,0.00021526418786693702,51100
0.1,9,7,0.0010124875700647379,0.0003131115459882594,51100
0.1,9,8,0.008792555517978445,0.0006849315068493261,51100
0.1,9,9,0.0008704975696682965,0.0025048923679060614,51100
0.1,11,0,0.005473683212051841,0.0012212994626282364,204700
0.1,11,1,0.00013124502681756411,0.0011773326819736196,204700
0.1,11,2,0.00023635938585848948,0.00013678553981437414,204700
0.1,11,3,9.75787471369921e-05,0.00033219345383488086,204700
0.1,11,4,0.00011335993848914094,0.0007181240840253983,204700
0.1,11,5,0.00020975119922642116,0.00033219345383488086,204700
0.1,11,6,0.00018797465236701505,0.00011724474841232069,204700
0.1,11,7,3.368800228058244e-05,0.00016121152906693748,204700
0.1,11,8,0.00013112715393184815,0.0003517342452369343,204700
0.1,11,9,0.0006842051859310139,0.0001660967269174335,204700
0.1,13,0,1.149520359025602e-06,0.0006140886338664442,819100
0.1,13,1,1.149520359025602e-06,0.0005921132950799657,819100
0.1,13,2,1.149520359025602e-06,6.958857282383935e-05,819100
0.1,13,3,1.1495203590394798e-06,0.0001672567452081497,819100
0.1,13,4,1.149520359025602e-06,0.00035404712489317536,819100
0.1,13,5,1.149520359025602e-06,0.00016603589305334843,819100
0.1,13,6,1.149520359025602e-06,5.982175558540137e-05,819100
0.1,13,7,1.149520359025602e-06,8.05762422170786e-05,819100
0.1,13,8,1.149520359025602e-06,0.00017824441460140283,819100
0.1,13,9,1.149520359025602e-06,8.301794652666727e-05,819100
0.1,15,0,6.769451943444693e-10,0.0003082369457075712,3276700
0.1,15,1,5.743481622660918e-07,0.0002972502822962131,3276700
0.1,15,2,1.149520359025602e-06,3.4791100802636366e-05,3276700
0.1,15,3,1.1495203590394798e-06,8.362071596422493e-05,3276700
