OBJECT_A,OBJECT_B,MISS_DISTANCE_KM,ANALYTIC_PC,ALTITUDE_DIFF_KM,INCLINATION_DIFF_DEG,MEAN_ECCENTRICITY
IRIDIUM 33 DEB,IRIDIUM 33 DEB,34.938889125269014,4.727309755399518e-08,33.379759730649766,0.011899999999997135,0.00193485
LUSAT (LO-19),STELLA,35.48450434444642,4.294332536116828e-08,22.26908132621884,0.11749999999999261,0.00091968
IRIDIUM 33 DEB,EYESAT A (AO-27),36.128719310089885,3.826537778673318e-08,37.16807673352832,12.31949999999999,0.001061245
COSMOS 2251 DEB,STELLA,36.98608691181746,3.271487692645711e-08,240.45568180398004,24.696300000000008,0.018722225000000002
COSMOS 2251 DEB,ORBCOMM FM20,39.04820931551081,2.210602195515831e-08,14.680419953013825,29.0473,0.000945055
IRIDIUM 33 DEB,OPS 5712 (P/L 160),39.05773073318618,2.2064960681914323e-08,24.4274977606201,16.46289999999999,0.000705105
IRIDIUM 33 DEB,RIGIDSPHERE 2 (LCS 4),39.52948011781207,2.0111810634280433e-08,2.2139891246965817,1.2152999999999992,0.003794195
COSMOS 2251 DEB,FORTE,41.38636385913162,1.3813952557999286e-08,26.136742237064936,4.080600000000004,0.002160355
SCD 1,EYESAT A (AO-27),41.43572935007565,1.3673474090396369e-08,50.26068700119367,73.7132,0.002464885
IRIDIUM 33 DEB,SCD 2,41.43657238611972,1.367108607962358e-08,22.8578100517675,61.412299999999995,0.0016675050000000001
RIGIDSPHERE 2 (LCS 4),FORTE,42.02410471072185,1.2093807499125821e-08,33.22638875209168,17.6721,0.004065995
IRIDIUM 33 DEB,ITAMSAT (IO-26),42.73521456203613,1.0402130622323793e-08,40.937659202551,12.274000000000001,0.00100741
IRIDIUM 33 DEB,ITAMSAT (IO-26),42.75118733057892,1.036668208821693e-08,106.88236856470394,12.681000000000012,0.01086794
IRIDIUM 33 DEB,TECHSAT 1B (GO-32),43.51179492941331,8.798369327568633e-09,83.60722955074925,13.0171,0.010556455
IRIDIUM 33 DEB,SCD 2,43.914429372536986,8.05718646525458e-09,11.133403916716816,61.3663,0.001531955
COSMOS 2251 DEB,ORBCOMM FM04,46.59040173638953,4.3977526866747685e-09,13.613509334065839,33.92700000000001,0.0031150199999999996
COSMOS 2251 DEB,ITAMSAT (IO-26),48.81267491119812,2.588464071872317e-09,39.00370618564466,24.64110000000001,0.001544485
IRIDIUM 33 DEB,IRIDIUM 33 DEB,48.94340302985705,2.507073214913827e-09,13.712545459240573,0.02559999999999718,0.0017260499999999998
COSMOS 2251 DEB,STARLETTE,51.24830341156292,1.4074598509663653e-09,207.4619773396821,24.2121,0.011427435
STARLETTE,STELLA,51.619463997060194,1.2793286540704858e-09,155.3649843459766,48.9425,0.01063257
COSMOS 2251 DEB,COSMOS 2251 DEB,52.01620918684648,1.154356580583252e-09,10.546524599592885,0.0024999999999977263,0.0017927199999999998
ITAMSAT (IO-26),ORBCOMM FM27,52.22062364581182,1.0944745146967682e-09,26.13214973912727,53.670300000000005,0.00051723
FENGYUN 1C DEB,IRIDIUM 33 DEB,52.753343026086135,9.516768515662694e-10,663.5022215090239,13.081599999999995,0.0433595
IRIDIUM 33 DEB,COSMOS 2251 DEB,53.75966108132424,7.279706792578389e-10,35.852430190420364,12.337299999999999,0.001504905
IRIDIUM 33 DEB,WESTPAC,54.14193601255004,6.566430934895842e-10,12.31183205126672,12.715699999999998,0.005743905
COSMOS 2251 DEB,COSMOS 2251 DEB,54.54999541309913,5.877247809208238e-10,268.25855929791214,0.037499999999994316,0.019434395
IRIDIUM 33 DEB,STELLA,55.31124633981547,4.768390215823207e-10,37.106513133655426,12.357600000000005,0.0011763849999999998
IRIDIUM 33 DEB,STARLETTE,55.36872878986557,4.693147117375467e-10,61.57590258933351,36.1722,0.02075089
IRIDIUM 33 DEB,ORBCOMM FM06,55.8533603961441,4.1014849973795085e-10,18.237912851392593,41.3489,0.0007126049999999999
COSMOS 2251 DEB,JAS-2 (FO-29),56.498138633522096,3.422066777288475e-10,19.575853798115986,24.44850000000001,0.035815435
IRIDIUM 33 DEB,RIGIDSPHERE 2 (LCS 4),56.79680105622795,3.1444920877100806e-10,128.68160576560194,1.6280000000000001,0.01342969
COSMOS 2251 DEB,ORBCOMM FM19,57.52108451606082,2.5565433650481097e-10,13.124912686263542,29.193400000000004,0.003417375
COSMOS 2251 DEB,WESTPAC,58.18017854791,2.1127938337419925e-10,35.741394866770406,24.980499999999992,0.0008809
IRIDIUM 33 DEB,COSMOS 2251 DEB,58.1981818318984,2.1017559970956656e-10,29.806427869969866,12.119099999999989,0.008789934999999999
IRIDIUM 33 DEB,IRIDIUM 33 DEB,58.73759451138166,1.7951375744392242e-10,57.45407754709913,0.028499999999993975,0.0017528499999999998
COSMOS 2251 DEB,SCD 2,59.8309432750603,1.298214571173886e-10,7.8673301917174285,49.0395,0.001979545
RIGIDSPHERE 2 (LCS 4),SCD 2,61.04570322868364,8.993345513601437e-11,25.071799176464083,62.627599999999994,0.00380249
JAS-2 (FO-29),WESTPAC,61.43645303020018,7.979177058821797e-11,245.19133668092627,0.5026999999999902,0.017528935
IRIDIUM 33 DEB,IRIDIUM 33 DEB,62.05368778230285,6.5947861517729e-11,56.89338199925987,0.022599999999997067,0.0013308999999999999
FORTE,ORBCOMM FM27,63.43747721973906,4.272273859728203e-11,37.559301290320946,24.945199999999993,0.001215795
COSMOS 2251 DEB,SCD 1,64.01864927931847,3.55004915218861e-11,9.826536542665963,49.0669,0.0032393400000000003
IRIDIUM 33 DEB,IRIDIUM 33 DEB,64.30588816463515,3.2375342380124984e-11,49.22966111162441,0.012199999999992883,0.001147705
IRIDIUM 33 DEB,COSMOS 2251 DEB,64.37312490322134,3.1682586662672995e-11,99.69081090255077,12.370400000000004,0.0034059449999999996
EYESAT A (AO-27),WESTPAC,64.48021087337321,3.060830169524878e-11,26.503041456347546,0.33899999999999864,0.000456135
FENGYUN 1C DEB,WESTPAC,65.32162918326459,2.329473323753422e-11,581.9741284176393,0.5539000000000129,0.035053965
COSMOS 2251 DEB,ORBCOMM FM04,65.39764747906058,2.2723159905623754e-11,0.1126454510667827,33.9286,0.0031330999999999998
IRIDIUM 33 DEB,LUSAT (LO-19),65.43253186881304,2.2465366189195355e-11,26.561837942487273,12.52109999999999,0.001266955
ORBCOMM FM20,SCD 2,65.89624137779421,1.929274110375435e-11,24.382707286808454,19.997,0.0009910000000000001
ORBCOMM FM06,ORBCOMM FM19,66.15552635351244,1.771003380984016e-11,26.665858433768335,0.020800000000001262,0.00030094999999999997
STELLA,ORBCOMM FM20,66.35705606852164,1.656626397557433e-11,35.58161589861447,53.7729,0.00049988
COSMOS 2251 DEB,SCD 2,66.43655784326052,1.61347451427888e-11,32.6862621853561,49.190000000000005,0.003972875
IRIDIUM 33 DEB,RIGIDSPHERE 2 (LCS 4),66.51965326320321,1.56951996903682e-11,49.4555109121311,1.2746999999999957,0.0042369899999999995
COSMOS 2251 DEB,SCD 1,66.68210346549263,1.4868699662840638e-11,34.12065204243936,49.0635,0.003156645
COSMOS 2251 DEB,STELLA,67.14463687480334,1.2736985954029918e-11,52.0969929937055,24.730400000000003,0.0014884249999999998
IRIDIUM 33 DEB,COSMOS 2251 DEB,67.21928558702821,1.2421574240578825e-11,121.06714275670993,11.809599999999989,0.013600075
IRIDIUM 33 DEB,STELLA,67.29133734242075,1.2124224970047136e-11,93.7890817566431,12.770300000000006,0.01081188
