OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
EYESAT A (AO-27),1993-061C,2026-08-28T15:36:26.028000,14.30958023,0.00073438,98.6822,308.016,244.2031,115.8394,0,U,22825,999,71736,4.7440122e-05,8e-07,0
ITAMSAT (IO-26),1993-061D,2026-08-28T16:16:17.304384,14.31386552,0.00080568,98.677,307.9687,225.3935,134.6592,0,U,22826,999,71768,4.4963982e-05,7.5e-07,0
USA 119,1996-029A,2026-08-28T18:02:50.639136,13.46477115,0.08547829,63.3202,2.134,50.3464,316.986,0,U,23893,999,11504,0.00012621633,6.81e-06,0
JAS-2 (FO-29),1996-046B,2026-08-28T02:23:19.430880,13.53277379,0.03487998,98.5185,79.114,269.8259,86.2918,0,U,24278,999,48289,4.2831341e-05,4e-08,0
FORTE,1997-047A,2026-08-28T21:00:37.275552,14.27969193,0.00220281,69.9519,209.8321,186.8383,173.2442,0,U,24920,999,50906,6.5695901e-05,1.05e-06,0
ORBCOMM FM06,1997-084G,2026-08-28T21:31:43.422240,14.47714096,3.71e-05,45.0138,62.6389,189.1953,324.1866,0,U,25118,999,50492,0.0003415026,1.127e-05,0
ORBCOMM FM04,1998-007C,2026-08-28T03:44:52.003680,14.35839582,0.0041483,107.9611,317.5465,202.5767,157.3549,0,U,25159,999,48692,0.00025851,6.24e-06,0
TECHSAT 1B (GO-32),1998-043D,2026-08-28T21:44:42.872064,14.24440315,0.00018271,99.0131,235.5195,43.3839,316.7482,0,U,25397,999,46168,3.6981158e-05,3.9e-07,0
WESTPAC,1998-043E,2026-08-28T04:41:25.306656,14.23056823,0.00017789,99.0212,227.9715,41.3237,318.8075,0,U,25398,999,46118,1.2028215e-05,-2e-07,0
ORBCOMM FM19,1998-046C,2026-08-27T12:15:24.669216,14.39609125,0.0005648,44.993,264.5029,290.45,224.5698,0,U,25415,999,46705,0.00027487,7.24e-06,0
ORBCOMM FM20,1998-046D,2026-08-28T09:34:22.649664,14.38151766,0.0003062,44.9934,269.0072,275.1888,84.861,0,U,25416,999,46718,0.00018267,4.17e-06,0
ORBCOMM FM27,1998-053G,2026-08-28T15:46:49.152576,14.39252962,0.00022878,45.0067,351.1099,219.8971,140.171,0,U,25481,999,46067,0.00027605882,7.22e-06,0
SCD 2,1998-060A,2026-08-28T12:34:26.778720,14.45547293,0.0016758,24.9964,346.0528,166.775,286.795,0,U,25504,999,47080,4.5408e-05,3.45e-06,0
DIWATA 2B,2018-084H,2026-04-16T06:39:13.057,15.00149839,0.0013788,98.1049,299.8619,17.5278,342.6418,0,U,43678,999,40693,0.00010549,1.253e-05,0
